FlightNumber,FlightDate,Departure Airport ,Arrival Airport,EmployeeId,RoleCode,BaseCode,rotationBeginDate
AI0678,21-07-2020,KOL,BLR,220679,AH,CR,21-07-2020
AI0678,21-07-2020,KOL,BLR,220676,PI,CR,21-07-2020
AI0678,21-07-2020,KOL,BLR,220675,CO-PI,CR,21-07-2020
AI0678,21-07-2020,KOL,BLR,220674,AH,CR,21-07-2020
AI2267,21-07-2020,BLR,KOL,220673,AH,CR,21-07-2020
AI2267,21-07-2020,BLR,KOL,220672,AH,CR,21-07-2020
AI2267,21-07-2020,BLR,KOL,220671,PI,CR,21-07-2020
AI2267,21-07-2020,BLR,KOL,220670,CO-PI,CR,21-07-2020
AI3345,21-07-2020,DEL,GA,320678,AH,CR,21-07-2020
AI3345,21-07-2020,DEL,GA,320677,AH,CR,21-07-2020
AI3345,21-07-2020,DEL,GA,320676,PI,CR,21-07-2020
AI3345,21-07-2020,DEL,GA,320675,CO-PI,CR,21-07-2020
AI5567,21-07-2020,GA,DEL,320674,AH,CR,21-07-2020
AI5567,21-07-2020,GA,DEL,320673,AH,CR,21-07-2020
AI5567,21-07-2020,GA,DEL,320672,PI,CR,21-07-2020
AI5567,21-07-2020,GA,DEL,320671,CO-PI,CR,21-07-2020
